sales1_name,sales2_name,chan1_name,chan2_name,chan3_name,dma1_name,var,beta,hl,hrf,max,cpp,apprate,ratio,m_1,m_2,m_3,m_4,m_5
WIM,WIM - Non-retirement,Paid Search,WIM Retirement,General Market,National,ops_wrt_tl_tl_clk,83.05833982,0.01,0.45,15757,3.815059801,1,1,1,252,635,844,844
WIM,WIM - Non-retirement,Radio,Brand,General Market,National,trd_brnd_spd,141.1346061,0.6,0.45,932153.265,1,0.3,1,1,252,635,844,844
WIM,WIM - Non-retirement,Radio,WIM Brokerage,General Market,National,trd_wbrk_spd,44.77530534,1,0.3,54189.285,1,1,1,1,252,635,844,844
WIM,WIM - Non-retirement,Television,Brand,General Market,National,ttv_brnd_trp,315.8720492,3,0.15,383.4,33818.11378,1,1,1,252,635,844,844
WIM,WIM - Non-retirement,Television,WIM Brokerage,General Market,National,ttv_wbrk_trp,491.3250511,2,0.15,102.66496,19782.80382,1,1,1,252,635,844,844
WIM,WIM - Retirement,Magazine,WIM Brokerage,General Market,National,tmg_wbrk_spd,198.4932406,1,0.3,500902.0432,1,1,1,1,75,165,209,209
WIM,WIM - Retirement,Magazine,WIM Retirement,General Market,National,tmg_wret_spd,337.9654161,2,0.45,689443.1069,1,1,1,1,75,165,209,209
WIM,WIM - Retirement,Newspaper,Brand,General Market,National,tnp_brnd_spd,80.45715004,0.6,0.45,972597.78,1,0.25,1,1,75,165,209,209
WIM,WIM - Retirement,Online Banner,Brand,General Market,National,odp_nv_brd_imp,144.7818793,0.6,0.45,237308965,0.004969707,1,1,1,75,165,209,209
WIM,WIM - Retirement,Online Display,WIM Brokerage,General Market,National,odp_tl_wbg_spd,244.0574068,0.3,0.3,491624.74,1,1,1,1,75,165,209,209
WIM,WIM - Retirement,Online Display,WIM Retirement,General Market,National,odp_tl_wrt_spd,368.5655856,0.3,0.3,206610.6141,1,1,1,1,75,165,209,209
WIM,WIM - Retirement,Online Video,Brand,General Market,National,odp_vd_brd_imp,427.7298823,2,0.15,372404352,0.01243976,1,1,1,75,165,209,209
WIM,WIM - Retirement,Paid Search,WIM Brokerage,General Market,National,ops_wfa_tl_tl_clk,182.0662455,0.01,0.3,37343,2.244086946,1,1,1,75,165,209,209
WIM,WIM - Retirement,Paid Search,WIM Retirement,General Market,National,ops_wrt_tl_tl_clk,118.9893646,0.01,0.15,15757,3.815059801,1,1,1,75,165,209,209
WIM,WIM - Retirement,Television,Brand,General Market,National,ttv_brnd_trp,161.2057514,4,0.15,383.4,33818.11378,1,1,1,75,165,209,209
WIM,WIM - Retirement,Television,WIM Brokerage,General Market,National,ttv_wbrk_spd,433.2616369,2,0.3,2501892.219,1,1,1,1,75,165,209,209
WIM,WIM - Retirement,Television,WIM Retirement,General Market,National,ttv_wret_trp,176.1771304,2,0.15,144.67,29726.21653,1,1,1,75,165,209,209
